epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,1.035692146662315,0.6110589405070983,0.5402640494548638,0.8604946460708952,0.6435054773082942,0.6159830543406726
2,0.7421744159919113,0.6980610948461581,0.6681046856189323,0.7200501276107275,0.7336463223787167,0.6947589249801074
3,0.6457504172723662,0.7270065734961056,0.7040721585457986,0.623975198164419,0.7605633802816901,0.7297223247610996
4,0.5828325225655917,0.7551786996630393,0.7331381907481178,0.6080249425017964,0.7718309859154929,0.7420326265001878
5,0.5368486522693157,0.7723029332154892,0.7514789276525154,0.5810468637141077,0.7874804381846635,0.7543193106567254
6,0.5122717038634099,0.7818593603270176,0.7618228638911866,0.5158189854058488,0.7987480438184663,0.7719864531615785
7,0.4804954967817891,0.7903662376401701,0.771881752871286,0.5227523488804395,0.789358372456964,0.7670532726253975
8,0.46036261638666276,0.7960006628735569,0.7784309115397969,0.4888546516451291,0.8050078247261346,0.779887827634466
9,0.4375708103772587,0.8080981052864166,0.7918515231803283,0.46984658101354965,0.815962441314554,0.7946806032782374
10,0.40708128431749063,0.8166602220626415,0.8000603324127804,0.4537438812017068,0.8203442879499218,0.7991870853334471
11,0.39805393688377017,0.8157763906534828,0.8018090361428069,0.4531294397158615,0.8181533646322379,0.7931326790469813
12,0.37412135913208333,0.8290338617908634,0.8152428889936493,0.4348732436206979,0.8153364632237872,0.795647210315187
13,0.3609394771446413,0.8316853560183395,0.8197247772416182,0.4169422730686892,0.831924882629108,0.8110090096189368
14,0.34369209183880367,0.8405236701099266,0.8283110951230412,0.41806917373376645,0.8194053208137715,0.8007907313269227
15,0.33535107881668713,0.8395845992376955,0.8270751526548977,0.38845393423556535,0.8438184663536776,0.8226360139432212
16,0.3251640977585822,0.8427332486328233,0.8306720926480305,0.4146726860500091,0.8203442879499218,0.8047433375583142
17,0.30365536480175687,0.8540573385626692,0.8419716318046362,0.37923702429717693,0.8381846635367762,0.8210074487527439
18,0.3097605999284032,0.8514058443351931,0.8392979831366274,0.3727346380644934,0.8410015649452269,0.8225556829898806
19,0.2917422564877322,0.8570955090316522,0.8463646952830046,0.3644477189053579,0.8438184663536776,0.826055622993756
20,0.28214842662695117,0.8622880185604596,0.8518013531119614,0.3541193764441077,0.8519561815336463,0.8329728265539917
