epoch,train_loss,train_acc,train_macro_f1,train_recall_fall,val_loss,val_acc,val_macro_f1,val_recall_fall,val_thr,val_macro_f1_thr,val_recall_fall_thr
1,0.0490880688744253,0.6002833434527424,0.5222710624938217,0.742973939703628,0.049056255334244424,0.7447163515016685,0.5959497151317268,0.5166666666666667,0.55,0.5985015205159471,0.2625
2,0.04096735920951827,0.7426296970923565,0.6370020773396012,0.7695452222789985,0.060762394165767314,0.7719688542825361,0.5719949859582445,0.33125,0.5,0.5719949859582445,0.33125
3,0.03729876927900257,0.7622613506037914,0.6559040975434849,0.7812979049565661,0.07813637391317044,0.7972747497219133,0.571225217312368,0.26666666666666666,0.5,0.571225217312368,0.26666666666666666
4,0.035499802254960175,0.7894488295216893,0.6829880122778617,0.795094532447624,0.08252540175819581,0.7372080088987765,0.5369004949719889,0.29791666666666666,0.55,0.5605203292474008,0.18333333333333332
5,0.0328374383650036,0.8168386966201174,0.7101907017568432,0.7961165048543689,0.057751381042536694,0.7447163515016685,0.5842648914546512,0.4625,0.55,0.6066873322044932,0.26875
6,0.030535985379737614,0.8272954192808474,0.7254175458128023,0.826264690853347,0.09228399596347973,0.7127363737486095,0.545576065927331,0.39791666666666664,0.55,0.5830261976041885,0.29583333333333334
7,0.029638131512707843,0.8349861701409971,0.7357750929817743,0.8415942769545223,0.0862553919944187,0.7436040044493882,0.5607904603847809,0.36875,0.55,0.5854245087806798,0.25
8,0.02737627365160011,0.8458476691627875,0.7512173495107226,0.8676545733265202,0.11302616316265736,0.7233036707452726,0.5546317971950424,0.4041666666666667,0.6,0.5700029712943974,0.1875
9,0.02581538856600003,0.8656142481279093,0.7734969636885316,0.8630556974961676,0.1857543502955255,0.7547274749721913,0.5808747039918809,0.41458333333333336,0.6,0.6096223636636743,0.2604166666666667
10,0.024014166507857142,0.8707414153680092,0.7812490372170897,0.8753193663771078,0.0701504459669886,0.7969966629588432,0.6221982355396284,0.4375,0.55,0.625805104274686,0.3145833333333333
11,0.024596174044309256,0.8733049989880591,0.7843248872287356,0.8748083801737353,0.07304412819283525,0.8242491657397107,0.5979003583148798,0.27708333333333335,0.5,0.5979003583148798,0.27708333333333335
12,0.021939320819870725,0.8857856034540916,0.8015911989052947,0.887583035258048,0.12840971759716266,0.7811457174638488,0.5779941251300478,0.32708333333333334,0.55,0.5890090444104568,0.24791666666666667
13,0.020064363291658373,0.8945557579437361,0.8143201622449316,0.8983137455288707,0.1142559139595654,0.7800333704115684,0.6041481255515365,0.425,0.5,0.6041481255515365,0.425
14,0.01946171721060148,0.8991432233690886,0.821448554811904,0.9070005109862034,0.15578130241919197,0.7808676307007787,0.5869269612473614,0.35833333333333334,0.6,0.5896785206518589,0.23541666666666666
15,0.01968576207556947,0.8965121770221952,0.8180776484270267,0.9085334695963209,0.09126610758463677,0.7828142380422692,0.6457096823066648,0.6020833333333333,0.6,0.6772313786403592,0.4
16,0.018326362092137147,0.9051474060581529,0.8303345710743729,0.9131323454266734,0.08241180785195083,0.7994994438264739,0.6567509834903366,0.5791666666666667,0.6,0.689060809895863,0.4125
17,0.01964539218332576,0.9031235242528503,0.827432503074233,0.9121103730199285,0.0839003233207458,0.8309232480533927,0.6509903755962974,0.42291666666666666,0.55,0.660695621878992,0.36666666666666664
18,0.017413270111368336,0.908385616946637,0.8350139594005985,0.914665304036791,0.19296230487604454,0.7305339265850945,0.5604259694688325,0.40625,0.65,0.5766864391065107,0.25
19,0.016926949985067986,0.9142548741820145,0.8429489255212008,0.9105774144098109,0.1644704238776049,0.7958843159065628,0.6168833166992091,0.42083333333333334,0.6,0.6216661451814769,0.27291666666666664
20,0.017103951780289735,0.9073062133171422,0.8349882310391394,0.9289729177312213,0.14452279174443464,0.7719688542825361,0.6331649389321486,0.5875,0.6,0.6662748052495429,0.38125
