epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,1.1315414993971906,0.32341631248735075,0.2846106406255598,2.1480762433422287,0.19549499443826474,0.14181603488606312
2,0.6590844457757334,0.5098832894825609,0.4739473991365692,2.3171043461302627,0.20800889877641823,0.1786714502887451
3,0.455511357884316,0.6075693179518317,0.5745596770319503,2.482337835301812,0.1896551724137931,0.14564314042207357
4,0.34610137111590733,0.6606624839776024,0.633223663044272,2.5979394379659277,0.18548387096774194,0.1625809775581248
5,0.2889740405870515,0.6877825001686568,0.664159348111932,2.6407869554335073,0.19799777530589543,0.17967122877148503
6,0.252152246847605,0.7193550563313769,0.6981641600986545,2.9937076453571194,0.23303670745272526,0.20225192817786966
7,0.22000622746513848,0.7516022397625312,0.7327290336919351,2.7435717948684437,0.21468298109010012,0.17354587804371235
8,0.18398793563040647,0.7755515077919449,0.7622458606097317,2.9563222463854957,0.21579532814238042,0.18460902803259818
9,0.17814962639585405,0.7890440531606288,0.7805693570892601,2.905538521632469,0.21802002224694106,0.17993593197537383
10,0.1611955337664187,0.8001079403629495,0.7962447144359799,2.939264727712871,0.18770856507230255,0.15981527627433795
11,0.15858204744025892,0.8065168994130743,0.8019038809510475,2.889619147751037,0.20383759733036708,0.17412051402850567
