epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,1.8681416046064,0.16782415211381566,0.135583939362429,1.6608111523465567,0.1544035674470457,0.12014882454985479
2,1.4225403067475826,0.2640415346234239,0.24669165795907783,1.4993706023281101,0.22603121516164995,0.1989542397027537
3,1.2444356192662176,0.31515069786258515,0.30624362246966735,1.5068036826823734,0.233835005574136,0.21417948816040613
4,1.0965255800707214,0.3616748702043018,0.3547966551612404,1.4144009501904815,0.2508361204013378,0.21494591088875398
5,0.9808153722533951,0.4056368417503877,0.4016929987097273,1.5680013420589791,0.2770345596432553,0.25355361555390105
6,0.8988319011694599,0.4330793607983278,0.4295552129920338,1.5300835842804499,0.2792642140468227,0.25493203113472657
7,0.8396595671384126,0.4607915851931765,0.45711544302441215,1.5050240530483965,0.30351170568561875,0.2976838213880064
8,0.7473314636459837,0.4868855775065741,0.4846099493437261,1.762667464970745,0.2714604236343367,0.2580559491891116
9,0.696988797490832,0.5184411030948689,0.5153360464628196,1.6657702324781132,0.29347826086956524,0.2842215411362785
10,0.6377929725945016,0.5499966286831637,0.549010703966382,1.8345698260410441,0.29264214046822745,0.26477530265924476
11,0.5939079188631788,0.5679320342525791,0.5673572842764234,1.849957544535166,0.302396878483835,0.282127986957758
12,0.5548264850906847,0.5892387566583508,0.5861228348608919,1.8696593674794753,0.3015607580824972,0.29898915537816323
13,0.5088322742277417,0.6147259119412042,0.6123121596480217,2.017312951709913,0.30128205128205127,0.2779159276624873
14,0.46372030606788117,0.644123794754231,0.6425539814982983,1.8682064877173041,0.2948717948717949,0.2742156143955386
15,0.4278803232261765,0.669341244690176,0.6680242233118587,1.9383544148410043,0.3054626532887402,0.29133708100280997
16,0.3905064939938154,0.6903108354123121,0.6879103159974599,2.0807379017705503,0.29570791527313267,0.27871987801481357
17,0.3663026839082766,0.7082462409817275,0.7067385866768067,2.1674467695995316,0.2940356744704571,0.2745034675366765
