epoch,train_loss,train_acc,train_macro_f1,train_recall_fall,val_loss,val_acc,val_macro_f1,val_recall_fall
1,0.594872011269296,0.6273464779857701,0.5455295958116803,0.7524810274372447,0.6130684116199268,0.596936589545844,0.5250091982787912,0.768621236133122
2,0.5425422343538246,0.6627635275276327,0.5820054082430234,0.827203736135435,0.7589074734984653,0.4813624678663239,0.43247907782748873,0.6949286846275753
3,0.5237799738826109,0.6802488907558613,0.5967762657234634,0.8347927612375948,0.8751426196139188,0.3884961439588689,0.3743670847407002,0.8811410459587956
4,0.5273199008388034,0.673133975688519,0.5922406908238281,0.8439385094376338,0.695970180338279,0.5136032562125107,0.4572205255072813,0.7076069730586371
5,0.5059963681347376,0.6727664155005382,0.5951550239400074,0.8705973924888111,0.6486033125371123,0.5411311053984575,0.47275828479825666,0.6695721077654516
6,0.4900685746332569,0.6933760403266035,0.6118278780294969,0.8709865732632808,0.8288788410939513,0.5,0.4473341769749154,0.7076069730586371
